,gsis_id,player_id,team,name_fixed,position,years_pro,height,weight,start_time,week,day_of_week,season_year,season_type,home_team,away_team,home_score,away_score,fantasy_score,fumbles_rec_tds,fumbles_lost,passing_int,passing_yds,passing_tds,passing_twoptm,receiving_rec,receiving_tds,receiving_twoptm,receiving_yds,rushing_yds,rushing_tds,rushing_twoptm,kicking_rec_tds,puntret_tds,receiving_tar,rushing_att,passing_att,forecast,home,Year,Week,team_id,city,name,temp,desc,desc_simple,prev_score,avg3_score,avg5_score,avg3_tar,avg5_tar,avg3_rush_att,avg5_rush_att,prev_tar,prev_rush_att,prev_pass_att,avg3_pass_att,avg5_pass_att
1763,2017091003,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-09-10 17:00:00,1,Sunday,2017,Regular,CLE,PIT,18,21,23.7,0,0,0,0,0,0,11,0,0,182,0,0,0,0,0,11,0,0,65f Clear,Browns,2017.0,1.0,CLE,Cleveland,Browns,65.0,Clear,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777,2017091706,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-09-17 17:00:00,2,Sunday,2017,Regular,PIT,MIN,26,9,8.7,0,0,0,0,0,0,5,0,0,62,0,0,0,0,0,11,0,0,78f Clear,Steelers,2017.0,2.0,PIT,Pittsburgh,Steelers,78.0,Clear,Good,23.7,,,,,,,11.0,0.0,0.0,,
1790,2017092403,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-09-24 17:00:00,3,Sunday,2017,Regular,CHI,PIT,23,17,22.0,0,0,0,0,0,0,10,1,0,110,0,0,0,0,0,14,0,0,87f Clear,Bears,2017.0,3.0,CHI,Chicago,Bears,87.0,Clear,Good,8.7,,,,,,,11.0,0.0,0.0,,
1801,2017100102,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-01 17:00:00,4,Sunday,2017,Regular,BAL,PIT,9,26,5.4,0,0,0,0,0,0,4,0,0,34,0,0,0,0,0,9,0,0,64f Clear,Ravens,2017.0,4.0,BAL,Baltimore,Ravens,64.0,Clear,Good,22.0,18.133333333333333,,12.0,,0.0,,14.0,0.0,0.0,0.0,
1812,2017100807,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-08 17:00:00,5,Sunday,2017,Regular,PIT,JAX,9,30,20.700000000000006,0,0,0,0,0,0,10,0,0,157,0,0,0,0,0,19,0,0,71f Mostly Cloudy,Steelers,2017.0,5.0,PIT,Pittsburgh,Steelers,71.0,Mostly Cloudy,Good,5.399999999999999,12.033333333333333,,11.333333333333336,,0.0,,9.0,0.0,0.0,0.0,
1823,2017101509,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-15 20:25:00,6,Sunday,2017,Regular,KC,PIT,13,19,25.5,0,0,0,0,0,0,8,1,0,155,0,0,0,0,0,10,0,0,60f Clear,Chiefs,2017.0,6.0,KC,Kansas City,Chiefs,60.0,Clear,Good,20.700000000000006,16.03333333333333,16.1,14.0,12.8,0.0,0.0,19.0,0.0,0.0,0.0,0.0
1835,2017102208,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-22 20:25:00,7,Sunday,2017,Regular,PIT,CIN,29,14,14.5,0,0,0,0,0,0,4,1,0,65,0,0,0,0,0,10,0,0,73f Clear,Steelers,2017.0,7.0,PIT,Pittsburgh,Steelers,73.0,Clear,Good,25.5,17.2,16.46,12.666666666666664,12.6,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1845,2017102910,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-10-30 00:30:00,8,Sunday,2017,Regular,DET,PIT,15,20,9.5,0,0,0,0,0,0,5,0,0,70,0,0,0,0,0,10,0,0,DOME,Lions,2017.0,8.0,DET,Detroit,Lions,65.0,DOME,Good,14.5,20.233333333333327,17.619999999999994,13.0,12.4,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1867,2017111203,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-11-12 18:00:00,10,Sunday,2017,Regular,IND,PIT,17,20,6.2,0,0,0,0,0,0,3,0,0,47,0,0,0,0,0,7,0,0,DOME,Colts,2017.0,10.0,IND,Indianapolis,Colts,65.0,DOME,Good,9.5,16.499999999999996,15.12,10.0,11.6,0.0,0.0,10.0,0.0,0.0,0.0,0.0
1877,2017111600,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-11-17 01:25:00,11,Thursday,2017,Regular,PIT,TEN,40,17,37.4,0,0,0,0,0,0,10,3,0,144,0,0,0,0,0,13,0,0,37f Mostly Cloudy,Steelers,2017.0,11.0,PIT,Pittsburgh,Steelers,37.0,Mostly Cloudy,Good,6.199999999999998,10.066666666666665,15.279999999999998,9.0,11.2,0.0,0.0,7.0,0.0,0.0,0.0,0.0
1890,2017112611,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-11-27 01:30:00,12,Sunday,2017,Regular,PIT,GB,31,28,35.90000000000001,0,0,0,0,0,0,10,2,1,169,0,0,0,0,0,12,0,0,36f Clear,Steelers,2017.0,12.0,PIT,Pittsburgh,Steelers,36.0,Clear,Good,37.39999999999999,17.7,18.62,10.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
1902,2017120400,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-12-05 01:30:00,13,Monday,2017,Regular,CIN,PIT,20,23,20.1,0,0,0,0,0,0,8,1,0,101,0,0,0,0,0,15,0,0,60f Partly Cloudy,Bengals,2017.0,13.0,CIN,Cincinnati,Bengals,60.0,Partly Cloudy,Good,35.9,26.5,20.7,10.666666666666666,10.4,0.0,0.0,12.0,0.0,0.0,0.0,0.0
1917,2017121013,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-12-11 01:30:00,14,Sunday,2017,Regular,PIT,BAL,39,38,26.8,0,0,0,0,0,0,11,0,0,213,0,0,0,0,0,18,0,0,30f Mostly Cloudy,Steelers,2017.0,14.0,PIT,Pittsburgh,Steelers,30.0,Mostly Cloudy,Good,20.099999999999994,31.13333333333333,21.82,13.333333333333336,11.4,0.0,0.0,15.0,0.0,0.0,0.0,0.0
1930,2017121709,00-0027793,PIT,A.Brown,WR,9.0,70.0,181.0,2017-12-17 21:25:00,15,Sunday,2017,Regular,PIT,NE,24,27,3.4000000000000004,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,3,0,0,40f Rain,Steelers,2017.0,15.0,PIT,Pittsburgh,Steelers,40.0,Rain,Wet,26.79999999999999,27.599999999999994,25.28,15.0,13.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
2704,2017091002,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-09-10 17:00:00,1,Sunday,2017,Regular,CIN,BAL,0,20,1.0,0,1,4,170,0,0,0,0,0,0,2,0,0,0,0,0,1,31,69f Clear,Bengals,2017.0,1.0,CIN,Cincinnati,Bengals,69.0,Clear,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2711,2017091400,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-09-15 00:25:00,2,Thursday,2017,Regular,CIN,HOU,9,13,9.46,0,0,0,224,0,0,0,0,0,0,5,0,0,0,0,0,2,35,67f Mostly Cloudy,Bengals,2017.0,2.0,CIN,Cincinnati,Bengals,67.0,Mostly Cloudy,Good,1.0,,,,,,,0.0,1.0,31.0,,
2718,2017092411,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-09-24 20:25:00,3,Sunday,2017,Regular,GB,CIN,27,24,16.28,0,0,0,212,2,0,0,0,0,0,-2,0,0,0,0,0,2,27,88f Clear,Packers,2017.0,3.0,GB,Green Bay,Packers,88.0,Clear,Good,9.46,,,,,,,0.0,2.0,35.0,,
2724,2017100103,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-10-01 17:00:00,4,Sunday,2017,Regular,CLE,CIN,7,31,28.34,0,1,0,286,4,0,0,0,0,0,29,0,0,0,0,0,4,30,64f Clear,Browns,2017.0,4.0,CLE,Cleveland,Browns,64.0,Clear,Good,16.28,8.913333333333334,,0.0,,1.6666666666666667,,0.0,2.0,27.0,31.0,
2731,2017100800,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-10-08 17:00:00,5,Sunday,2017,Regular,CIN,BUF,20,16,15.32,0,0,2,328,1,0,0,0,0,0,2,0,0,0,0,0,5,36,63f Rain,Bengals,2017.0,5.0,CIN,Cincinnati,Bengals,63.0,Rain,Wet,28.34,18.026666666666667,,0.0,,2.6666666666666665,,0.0,4.0,30.0,30.66666666666667,
2742,2017102208,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-10-22 20:25:00,7,Sunday,2017,Regular,PIT,CIN,29,14,12.400000000000002,0,0,2,140,2,0,0,0,0,0,8,0,0,0,0,0,3,30,73f Clear,Steelers,2017.0,7.0,PIT,Pittsburgh,Steelers,73.0,Clear,Good,15.32,19.98,14.080000000000002,0.0,0.0,3.6666666666666665,2.8,0.0,5.0,36.0,31.0,31.8
2748,2017102902,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-10-29 17:00:00,8,Sunday,2017,Regular,CIN,IND,24,23,18.72,0,0,0,243,2,0,0,0,0,0,10,0,0,0,0,0,3,29,39f Mostly Cloudy,Bengals,2017.0,8.0,CIN,Cincinnati,Bengals,39.0,Mostly Cloudy,Good,12.400000000000002,18.686666666666667,16.360000000000007,0.0,0.0,4.0,3.2,0.0,3.0,30.0,32.0,31.6
2754,2017110502,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-11-05 18:00:00,9,Sunday,2017,Regular,JAX,CIN,23,7,5.340000000000002,0,0,0,136,0,0,0,0,0,0,-1,0,0,0,0,0,3,18,77f Mostly Cloudy,Jaguars,2017.0,9.0,JAX,Jacksonville,Jaguars,77.0,Mostly Cloudy,Good,18.72,15.480000000000002,18.212,0.0,0.0,3.6666666666666665,3.4,0.0,3.0,29.0,31.66666666666667,30.4
2761,2017111206,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-11-12 18:00:00,10,Sunday,2017,Regular,TEN,CIN,24,20,14.6,0,2,0,265,2,0,0,0,0,0,0,0,0,0,0,0,1,35,52f Mostly Cloudy,Titans,2017.0,10.0,TEN,Tennessee,Titans,52.0,Mostly Cloudy,Good,5.34,12.153333333333334,16.024,0.0,0.0,3.0,3.6,0.0,3.0,18.0,25.66666666666667,28.6
2768,2017111908,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-11-19 21:25:00,11,Sunday,2017,Regular,DEN,CIN,17,20,18.56,0,0,0,154,3,0,0,0,0,0,4,0,0,0,0,0,3,25,59f Clear,Broncos,2017.0,11.0,DEN,Denver,Broncos,59.0,Clear,Good,14.6,12.88666666666667,13.276,0.0,0.0,2.333333333333333,3.0,0.0,1.0,35.0,27.33333333333333,29.6
2774,2017112601,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-11-26 18:00:00,12,Sunday,2017,Regular,CIN,CLE,30,16,19.160000000000004,0,0,0,214,2,0,0,0,0,0,26,0,0,0,0,0,4,28,46f Clear,Bengals,2017.0,12.0,CIN,Cincinnati,Bengals,46.0,Clear,Good,18.559999999999995,12.833333333333336,13.924,0.0,0.0,2.333333333333333,2.6,0.0,3.0,25.0,26.0,27.4
2781,2017120400,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-12-05 01:30:00,13,Monday,2017,Regular,CIN,PIT,20,23,19.26,0,0,0,234,2,0,0,0,0,0,19,0,0,0,0,0,2,36,60f Partly Cloudy,Bengals,2017.0,13.0,CIN,Cincinnati,Bengals,60.0,Partly Cloudy,Good,19.16,17.440000000000005,15.276,0.0,0.0,2.6666666666666665,2.8,0.0,4.0,28.0,29.33333333333333,27.0
2788,2017121002,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-12-10 18:00:00,14,Sunday,2017,Regular,CIN,CHI,7,33,8.64,0,0,1,141,1,0,0,0,0,0,0,0,0,0,0,0,0,29,30f Mostly Cloudy,Bengals,2017.0,14.0,CIN,Cincinnati,Bengals,30.0,Mostly Cloudy,Good,19.26,18.993333333333336,15.383999999999995,0.0,0.0,3.0,2.6,0.0,2.0,36.0,29.66666666666667,28.4
2794,2017121704,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-12-17 18:00:00,15,Sunday,2017,Regular,MIN,CIN,34,7,2.5200000000000005,0,0,2,113,0,0,0,0,0,0,0,0,0,0,0,0,0,22,DOME,Vikings,2017.0,15.0,MIN,Minnesota,Vikings,65.0,DOME,Good,8.64,15.686666666666667,16.043999999999997,0.0,0.0,2.0,2.0,0.0,0.0,29.0,31.0,30.6
2800,2017122402,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-12-24 18:00:00,16,Sunday,2017,Regular,CIN,DET,26,17,12.42,0,0,1,238,1,0,0,0,0,0,-1,0,0,0,0,0,3,41,35f Mostly Cloudy,Bengals,2017.0,16.0,CIN,Cincinnati,Bengals,35.0,Mostly Cloudy,Good,2.52,10.14,13.627999999999995,0.0,0.0,0.6666666666666666,1.8,0.0,0.0,22.0,29.0,28.0
2806,2017123101,00-0027973,CIN,A.Dalton,QB,8.0,74.0,220.0,2017-12-31 21:25:00,17,Sunday,2017,Regular,BAL,CIN,27,31,20.680000000000003,0,0,0,222,3,0,0,0,0,0,-2,0,0,0,0,0,2,44,18f Mostly Cloudy,Ravens,2017.0,17.0,BAL,Baltimore,Ravens,18.0,Mostly Cloudy,Good,12.419999999999998,7.860000000000002,12.399999999999995,0.0,0.0,1.0,1.8,0.0,3.0,41.0,30.66666666666667,31.2
4026,2017091002,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-09-10 17:00:00,1,Sunday,2017,Regular,CIN,BAL,0,20,9.9,0,0,0,0,0,0,5,0,0,74,0,0,0,0,0,10,0,0,69f Clear,Bengals,2017.0,1.0,CIN,Cincinnati,Bengals,69.0,Clear,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4033,2017091400,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-09-15 00:25:00,2,Thursday,2017,Regular,CIN,HOU,9,13,9.2,0,0,0,0,0,0,5,0,0,67,0,0,0,0,0,8,0,0,67f Mostly Cloudy,Bengals,2017.0,2.0,CIN,Cincinnati,Bengals,67.0,Mostly Cloudy,Good,9.9,,,,,,,10.0,0.0,0.0,,
4041,2017092411,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-09-24 20:25:00,3,Sunday,2017,Regular,GB,CIN,27,24,22.1,0,0,0,0,0,0,10,1,0,111,0,0,0,0,0,13,0,0,88f Clear,Packers,2017.0,3.0,GB,Green Bay,Packers,88.0,Clear,Good,9.2,,,,,,,8.0,0.0,0.0,,
4049,2017100103,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-10-01 17:00:00,4,Sunday,2017,Regular,CLE,CIN,7,31,14.8,0,0,0,0,0,0,5,1,0,63,0,0,0,0,0,7,0,0,64f Clear,Browns,2017.0,4.0,CLE,Cleveland,Browns,64.0,Clear,Good,22.100000000000005,13.733333333333334,,10.333333333333334,,0.0,,13.0,0.0,0.0,0.0,
4058,2017100800,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-10-08 17:00:00,5,Sunday,2017,Regular,CIN,BUF,20,16,26.4,0,1,0,0,0,0,7,1,0,189,0,0,0,0,0,13,0,0,63f Rain,Bengals,2017.0,5.0,CIN,Cincinnati,Bengals,63.0,Rain,Wet,14.800000000000004,15.366666666666667,,9.333333333333334,,0.0,,7.0,0.0,0.0,0.0,
4070,2017102208,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-10-22 20:25:00,7,Sunday,2017,Regular,PIT,CIN,29,14,5.6000000000000005,0,0,0,0,0,0,3,0,0,41,0,0,0,0,0,6,0,0,73f Clear,Steelers,2017.0,7.0,PIT,Pittsburgh,Steelers,73.0,Clear,Good,26.4,21.1,16.48,11.0,10.2,0.0,0.0,13.0,0.0,0.0,0.0,0.0
4078,2017102902,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-10-29 17:00:00,8,Sunday,2017,Regular,CIN,IND,24,23,10.2,0,0,0,0,0,0,3,1,0,27,0,0,0,0,0,8,0,0,39f Mostly Cloudy,Bengals,2017.0,8.0,CIN,Cincinnati,Bengals,39.0,Mostly Cloudy,Good,5.599999999999998,15.599999999999996,15.62,8.666666666666666,9.4,0.0,0.0,6.0,0.0,0.0,0.0,0.0
4086,2017110502,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-11-05 18:00:00,9,Sunday,2017,Regular,JAX,CIN,23,7,1.1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,77f Mostly Cloudy,Jaguars,2017.0,9.0,JAX,Jacksonville,Jaguars,77.0,Mostly Cloudy,Good,10.199999999999996,14.066666666666665,15.82,9.0,9.4,0.0,0.0,8.0,0.0,0.0,0.0,0.0
4094,2017111206,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-11-12 18:00:00,10,Sunday,2017,Regular,TEN,CIN,24,20,20.0,0,0,0,0,0,0,5,1,0,115,0,0,0,0,0,7,0,0,52f Mostly Cloudy,Titans,2017.0,10.0,TEN,Tennessee,Titans,52.0,Mostly Cloudy,Good,1.0999999999999959,5.633333333333329,11.619999999999996,5.333333333333333,7.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4101,2017111908,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-11-19 21:25:00,11,Sunday,2017,Regular,DEN,CIN,17,20,13.0,0,0,0,0,0,0,4,1,0,50,0,0,0,0,0,9,0,0,59f Clear,Broncos,2017.0,11.0,DEN,Denver,Broncos,59.0,Clear,Good,19.999999999999996,10.43333333333333,12.66,5.666666666666668,7.2,0.0,0.0,7.0,0.0,0.0,0.0,0.0
4107,2017112601,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-11-26 18:00:00,12,Sunday,2017,Regular,CIN,CLE,30,16,9.1,0,0,0,0,0,0,5,0,0,66,0,0,0,0,0,8,0,0,46f Clear,Bengals,2017.0,12.0,CIN,Cincinnati,Bengals,46.0,Clear,Good,12.999999999999993,11.366666666666665,9.98,6.0,6.4,0.0,0.0,9.0,0.0,0.0,0.0,0.0
4115,2017120400,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-12-05 01:30:00,13,Monday,2017,Regular,CIN,PIT,20,23,23.2,0,0,0,0,0,0,7,2,0,77,0,0,0,0,0,16,0,0,60f Partly Cloudy,Bengals,2017.0,13.0,CIN,Cincinnati,Bengals,60.0,Partly Cloudy,Good,9.099999999999994,14.033333333333333,10.679999999999998,8.0,6.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0
4124,2017121002,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-12-10 18:00:00,14,Sunday,2017,Regular,CIN,CHI,7,33,6.9,0,1,0,0,0,0,5,0,0,64,0,0,0,0,0,12,0,0,30f Mostly Cloudy,Bengals,2017.0,14.0,CIN,Cincinnati,Bengals,30.0,Mostly Cloudy,Good,23.2,15.1,13.279999999999998,11.0,8.4,0.0,0.0,16.0,0.0,0.0,0.0,0.0
4131,2017121704,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-12-17 18:00:00,15,Sunday,2017,Regular,MIN,CIN,34,7,4.0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0,4,0,0,DOME,Vikings,2017.0,15.0,MIN,Minnesota,Vikings,65.0,DOME,Good,6.899999999999995,13.066666666666665,14.44,12.0,10.4,0.0,0.0,12.0,0.0,0.0,0.0,0.0
4139,2017122402,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-12-24 18:00:00,16,Sunday,2017,Regular,CIN,DET,26,17,11.1,0,0,0,0,0,0,6,0,0,81,0,0,0,0,0,10,0,0,35f Mostly Cloudy,Bengals,2017.0,16.0,CIN,Cincinnati,Bengals,35.0,Mostly Cloudy,Good,3.9999999999999942,11.366666666666665,11.24,10.666666666666666,9.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4147,2017123101,00-0027942,CIN,A.Green,WR,8.0,76.0,210.0,2017-12-31 21:25:00,17,Sunday,2017,Regular,BAL,CIN,27,31,2.7,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,10,0,0,18f Mostly Cloudy,Ravens,2017.0,17.0,BAL,Baltimore,Ravens,18.0,Mostly Cloudy,Good,11.099999999999996,7.333333333333332,10.86,8.666666666666666,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
7367,2017091010,00-0023459,GB,A.Rodgers,QB,14.0,74.0,225.0,2017-09-10 20:25:00,1,Sunday,2017,Regular,GB,SEA,17,9,17.54,0,0,1,311,1,0,0,0,0,0,21,0,0,0,0,0,7,42,70f Clear,Packers,2017.0,1.0,GB,Green Bay,Packers,70.0,Clear,Good,7.7,3.4,3.04,2.333333333333333,2.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7376,2017091713,00-0023459,GB,A.Rodgers,QB,14.0,74.0,225.0,2017-09-18 00:30:00,2,Sunday,2017,Regular,ATL,GB,34,23,19.52,0,1,1,343,2,0,0,0,0,0,8,0,0,0,0,0,2,50,DOME,Falcons,2017.0,2.0,ATL,Atlanta,Falcons,65.0,DOME,Good,17.54,,,,,,,0.0,7.0,42.0,,
7385,2017092411,00-0023459,GB,A.Rodgers,QB,14.0,74.0,225.0,2017-09-24 20:25:00,3,Sunday,2017,Regular,GB,CIN,27,24,25.82,0,0,1,313,3,0,0,0,0,0,23,0,0,0,0,0,4,42,88f Clear,Packers,2017.0,3.0,GB,Green Bay,Packers,88.0,Clear,Good,19.520000000000003,,,,,,,0.0,2.0,50.0,,
7392,2017092800,00-0023459,GB,A.Rodgers,QB,14.0,74.0,225.0,2017-09-29 00:25:00,4,Thursday,2017,Regular,GB,CHI,35,14,23.06,0,0,0,179,4,0,0,0,0,0,-1,0,0,0,0,0,1,26,64f Partly Cloudy,Packers,2017.0,4.0,GB,Green Bay,Packers,64.0,Partly Cloudy,Good,25.820000000000004,20.96,,0.0,,4.333333333333333,,0.0,4.0,42.0,44.66666666666666,
7400,2017100810,00-0023459,GB,A.Rodgers,QB,14.0,74.0,225.0,2017-10-08 20:25:00,5,Sunday,2017,Regular,DAL,GB,31,35,24.04,0,0,0,221,3,0,0,0,0,0,32,0,0,0,0,0,4,29,88f Clear,Cowboys,2017.0,5.0,DAL,Dallas,Cowboys,88.0,Clear,Good,23.06,22.8,,0.0,,2.333333333333333,,0.0,1.0,26.0,39.333333333333336,
7409,2017101503,00-0023459,GB,A.Rodgers,QB,14.0,74.0,225.0,2017-10-15 17:00:00,6,Sunday,2017,Regular,MIN,GB,23,10,0.72,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,DOME,Vikings,2017.0,6.0,MIN,Minnesota,Vikings,65.0,DOME,Good,24.040000000000006,24.30666666666667,21.996,0.0,0.0,3.0,3.6,0.0,4.0,29.0,32.333333333333336,37.8
7470,2017121701,00-0023459,GB,A.Rodgers,QB,14.0,74.0,225.0,2017-12-17 18:00:00,15,Sunday,2017,Regular,CAR,GB,31,24,24.9,0,0,3,290,3,0,0,0,0,0,43,0,0,0,0,0,6,45,48f Partly Cloudy,Panthers,2017.0,15.0,CAR,Carolina,Panthers,48.0,Partly Cloudy,Good,0.7200000000000024,15.94,18.632,0.0,0.0,1.6666666666666667,2.2,0.0,0.0,4.0,19.666666666666668,30.2
7891,2017092408,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-09-24 17:00:00,3,Sunday,2017,Regular,NYJ,MIA,20,6,5.6,0,0,0,0,0,0,5,0,0,31,0,0,0,0,0,6,0,0,87f Clear,Jets,2017.0,3.0,NYJ,New York,Jets,87.0,Clear,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7893,2017100108,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-10-01 17:00:00,4,Sunday,2017,Regular,NYJ,JAX,23,20,6.6000000000000005,0,0,0,0,0,0,4,0,0,46,0,0,0,0,0,4,0,0,64f Clear,Jets,2017.0,4.0,NYJ,New York,Jets,64.0,Clear,Good,5.6,,,,,,,6.0,0.0,0.0,,
7896,2017100801,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-10-08 17:00:00,5,Sunday,2017,Regular,CLE,NYJ,14,17,11.9,0,0,0,0,0,0,6,1,0,29,0,0,0,0,0,8,0,0,68f Mostly Cloudy,Browns,2017.0,5.0,CLE,Cleveland,Browns,68.0,Mostly Cloudy,Good,6.6,,,,,,,4.0,0.0,0.0,,
7898,2017101505,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-10-15 17:00:00,6,Sunday,2017,Regular,NYJ,NE,17,24,12.6,0,1,0,0,0,0,8,1,0,46,0,0,0,0,0,11,0,0,71f Mostly Cloudy,Jets,2017.0,6.0,NYJ,New York,Jets,71.0,Mostly Cloudy,Good,11.9,8.033333333333333,,6.0,,0.0,,8.0,0.0,0.0,0.0,
7899,2017102206,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-10-22 17:00:00,7,Sunday,2017,Regular,MIA,NYJ,31,28,9.6,0,0,0,0,0,0,3,1,0,21,0,0,0,0,0,5,0,0,85f Humid and Partly Cloudy,Dolphins,2017.0,7.0,MIA,Miami,Dolphins,85.0,Humid and Partly Cloudy,Good,12.6,10.366666666666667,,7.666666666666668,,0.0,,11.0,0.0,0.0,0.0,
7901,2017102905,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-10-29 17:00:00,8,Sunday,2017,Regular,NYJ,ATL,20,25,5.300000000000002,0,0,0,0,0,0,5,0,0,28,0,0,0,0,0,5,0,0,62f Rain,Jets,2017.0,8.0,NYJ,New York,Jets,62.0,Rain,Wet,9.599999999999998,11.366666666666667,9.260000000000002,8.0,6.8,0.0,0.0,5.0,0.0,0.0,0.0,0.0
7904,2017110200,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-11-03 00:25:00,9,Thursday,2017,Regular,NYJ,BUF,34,21,3.0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,2,0,0,64f Clear,Jets,2017.0,9.0,NYJ,New York,Jets,64.0,Clear,Good,5.299999999999999,9.16666666666667,9.2,7.0,6.6,0.0,0.0,5.0,0.0,0.0,0.0,0.0
7906,2017111205,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-11-12 18:00:00,10,Sunday,2017,Regular,TB,NYJ,15,10,9.7,0,0,0,0,0,0,6,0,0,67,0,0,0,0,0,9,0,0,76f Mostly Cloudy,Buccaneers,2017.0,10.0,TB,Tampa Bay,Buccaneers,76.0,Mostly Cloudy,Good,2.9999999999999982,5.966666666666669,8.48,4.0,6.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7910,2017112605,00-0031418,NYJ,A.Seferian-Jenkins,TE,5.0,77.0,262.0,2017-11-26 18:00:00,12,Sunday,2017,Regular,NYJ,CAR,27,35,3.7,0,0,0,0,0,0,2,0,0,27,0,0,0,0,0,7,0,0,46f Clear,Jets,2017.0,12.0,NYJ,New York,Jets,46.0,Clear,Good,9.699999999999998,6.000000000000003,8.040000000000003,5.333333333333333,6.4,0.0,0.0,9.0,0.0,0.0,0.0,0.0
